actual_label,torch_model_prediction,ZKML_preredicted_label,proof,verification,proof_generation_time,proof_verification_time,total_execution_time,witness_generation_time,torch_model_predict_time
4,4,4,True,True,74.58100366592407,0.9164953231811523,75.83040761947632,0.2985978126525879,0.010383844375610352
9,9,5,True,True,51.65019989013672,0.7158846855163574,52.81754469871521,0.43175315856933594,0.027269840240478516
7,7,7,True,True,50.57087445259094,0.6153252124786377,51.48954200744629,0.2594902515411377,0.00589442253112793
2,2,2,True,True,51.05451536178589,0.6268770694732666,51.964988470077515,0.2623910903930664,0.01739192008972168
3,3,3,True,True,55.66874027252197,0.6820671558380127,56.7359573841095,0.36304259300231934,0.015478849411010742
4,9,9,True,True,51.18435478210449,0.7251298427581787,52.1964111328125,0.2553079128265381,0.012202262878417969
9,9,9,True,True,52.98677206039429,0.741074800491333,54.10683727264404,0.34992241859436035,0.013394355773925781
8,8,8,True,True,48.67561221122742,0.6267910003662109,49.88479399681091,0.551030158996582,0.008503913879394531
6,6,6,True,True,50.723610639572144,0.8712100982666016,52.17160725593567,0.5047824382781982,0.029826641082763672
1,1,1,True,True,49.15260148048401,0.6461994647979736,50.110841512680054,0.2840099334716797,0.011382818222045898
3,3,3,True,True,47.79326581954956,0.5796256065368652,48.65403342247009,0.2530977725982666,0.008097410202026367
1,1,1,True,True,54.78515672683716,0.7325124740600586,56.007646799087524,0.45534229278564453,0.021474838256835938
6,6,6,True,True,48.72246336936951,0.6141917705535889,49.60804533958435,0.24029231071472168,0.00713801383972168
3,3,3,True,True,48.139118671417236,0.8091526031494141,49.52494239807129,0.4986746311187744,0.02903294563293457
2,2,2,True,True,49.04757213592529,0.9575445652008057,50.32094979286194,0.28554320335388184,0.012489795684814453
3,3,3,True,True,47.51757073402405,1.031031847000122,48.99059700965881,0.38129687309265137,0.013486862182617188
3,3,3,True,True,50.20103049278259,0.6126255989074707,51.23617672920227,0.38538336753845215,0.008139371871948242
4,4,4,True,True,49.46786046028137,0.6196515560150146,50.37806725502014,0.2643733024597168,0.008019447326660156
8,8,8,True,True,48.35291790962219,1.1235978603363037,49.78798818588257,0.27580714225769043,0.01573014259338379
6,6,6,True,True,47.178218126297,0.9613564014434814,48.48954486846924,0.30883240699768066,0.008647918701171875
4,9,4,True,True,47.138181924819946,0.6140396595001221,48.18083047866821,0.38805127143859863,0.00796961784362793
5,5,5,True,True,46.90536284446716,0.9702091217041016,48.176679849624634,0.27309179306030273,0.015490055084228516
6,6,5,True,True,50.21501040458679,0.5996160507202148,51.29376482963562,0.4338226318359375,0.020896196365356445
9,9,9,True,True,47.406941652297974,0.6104791164398193,48.329739809036255,0.28075432777404785,0.006635904312133789
2,2,2,True,True,46.13989782333374,0.6378426551818848,47.07162165641785,0.26280927658081055,0.012294769287109375
4,4,4,True,True,47.71533823013306,0.7761580944061279,48.862454652786255,0.331007719039917,0.020798921585083008
6,6,6,True,True,45.92503333091736,0.5922954082489014,46.78806114196777,0.24638009071350098,0.007941484451293945
8,8,8,True,True,47.00167655944824,0.7046468257904053,47.97447681427002,0.2451171875,0.014060258865356445
9,9,9,True,True,47.09443283081055,0.6052401065826416,47.97642183303833,0.24814343452453613,0.007272958755493164
0,0,0,True,True,48.99392223358154,0.7560782432556152,50.142518520355225,0.3674919605255127,0.014195442199707031
4,4,4,True,True,46.31996250152588,0.7941958904266357,47.50639748573303,0.3674159049987793,0.010071039199829102
2,2,2,True,True,46.85201120376587,0.5591785907745361,48.07966208457947,0.6289939880371094,0.01743483543395996
5,5,5,True,True,47.63533115386963,0.662177562713623,48.69902801513672,0.37407994270324707,0.008081674575805664
1,1,1,True,True,46.48345470428467,0.5667362213134766,47.35094451904297,0.2730891704559326,0.023669719696044922
5,5,5,True,True,46.83783435821533,0.5961692333221436,47.81858158111572,0.35021281242370605,0.005059242248535156
2,2,2,True,True,47.633235454559326,0.5968334674835205,48.641056060791016,0.38696932792663574,0.006842613220214844
0,0,0,True,True,110.10041809082031,1.1538302898406982,111.541011095047,0.2632133960723877,0.014902830123901367
0,0,0,True,True,60.73204779624939,1.4099934101104736,62.67544889450073,0.4899177551269531,0.02304840087890625
1,1,1,True,True,67.12441658973694,0.7480113506317139,68.53155565261841,0.6065733432769775,0.017778396606445312
8,8,8,True,True,56.702155351638794,0.6061468124389648,57.74470043182373,0.40941309928894043,0.018241167068481445
2,2,2,True,True,59.473902225494385,1.156672716140747,61.29638862609863,0.6419215202331543,0.007443428039550781
0,0,0,True,True,55.75481081008911,0.73056960105896,56.941229820251465,0.41403818130493164,0.019237756729125977
1,1,1,True,True,50.20725750923157,0.629469633102417,51.1070282459259,0.24004244804382324,0.006987810134887695
5,5,5,True,True,53.007386922836304,0.9555892944335938,54.41597580909729,0.41212034225463867,0.049748897552490234
1,1,1,True,True,54.268739461898804,0.8599851131439209,55.66364288330078,0.49473071098327637,0.048960208892822266
7,7,7,True,True,52.08517670631409,0.6892545223236084,53.10398530960083,0.2961881160736084,0.004731416702270508
4,4,4,True,True,51.90584754943848,0.6561710834503174,53.0946090221405,0.4938695430755615,0.012485504150390625
8,8,8,True,True,49.43351721763611,0.818612813949585,50.57415223121643,0.2929368019104004,0.010984659194946289
